title,body,date,n_paragraphs
Wall Street concluye octubre en negativo atenta a elecciones de EEUU y prxima reunin Fed,Wall Street concluye octubre en negativo atenta a elecciones de EEUU y prxima reunin Fed,31 de octubre de 2024,65
Siguen las negociaciones entre partidos tras las elecciones para formar gobierno en Japn,Siguen las negociaciones entre partidos tras las elecciones para formar gobierno en Japn,31 de octubre de 2024,57
El BoJ mantiene los tipos de inters en el   mientras analiza impacto de elecciones,El BoJ mantiene los tipos de inters en el   mientras analiza impacto de elecciones,31 de octubre de 2024,63
El Real Madrid intenta esquivar la querella vecinal echando culpas del ruido del Bernabu a los promotores de eventos,Concierto de Alejandro Sanz en el Telefnica  Live celebrado en el estadio Santiago Bernabu                                     EFE,29 de octubre de 2024,71
LaLiga denunciar los insultos racistas contra Lamine Yamal y Raphinha y el Real Madrid anuncia medidas disciplinarias,Jugadores del Bara durante su partido contra el Real Madrid en el que se escucharon insultos racistas en las gradas a  de octubre de                                      AFP  Europa Press,27 de octubre de 2024,62
Ms Madrid cesa a Arenillas tras su negativa a dimitir por unas explicaciones que no se corresponden con la realidad,Archivo  La diputada de Ms Madrid Loreto Arenillas Gmez interviene en una sesin del pleno de la Asamblea de Madrid a  de marzo de  en Madrid Espaa  En el pleno donde han abordado cuestiones relativas a la salud mental el gobierno de la                                     A Prez Meca  Europa Press  Archivo,25 de octubre de 2024,53
Cambian las fronteras entre Madrid y Rivas a los lmites que marca la M dentro del pacto por la Caada Real,Zona en la que se marcan nuevos lmites entre los municipios de Madrid arriba y Rivas debajo                                     Google Earth,24 de octubre de 2024,61
Dellafuente cambia el Bernabu por dos Metropolitanos para compensar el concierto cancelado por el Real Madrid,El msico granadino Pablo Enoc ms conocido como Dellafuente en una imagen de archivo                                     EFE  Miguel ngel Molina,23 de octubre de 2024,60
La Polica detiene a cuatro personas por una campaa racista en redes contra Vincius antes del partido del AtlticoReal Madrid,El jugador del Real Madrid Vincius Junior durante un partido                                     AFP  Europa Press  Only For Use In Spain,24 de octubre de 2024,63
La Federacin baja a un partido el cierre parcial del Metropolitano por los incidentes del Atltico  Real Madrid,El Estadio Metropolitano en una imagen de archivo                                     Atltico de Madrid,17 de octubre de 2024,58
Las medidas del Real Madrid no acaban con el ruido ilegal en los conciertos del Bernabu confirma el Ayuntamiento,Mediciones sonoras por encima de los lmites permitidos junto al Santiago Bernabu durante el concierto de Romeo Santos el pasado sbado                                     RuidoBernabeu,9 de septiembre de 2024,66
Antiviolencia propone clausurar dos semanas el Estadio Metropolitano por los incidentes del Atltico  Real Madrid,Estadio Metropolitano                                     Atltico de Madrid,15 de octubre de 2024,61
El Atltico de Madrid anuncia la expulsin del aficionado identificado por los altercados durante el derbi contra el Real Madrid,Discusin entre jugadores del Atltico de Madrid y el Real Madrid este domingo                                     Europa Press,30 de septiembre de 2024,65
